Legajo;Nombre;Clasificación;Tipo
13311;KAHUAK;Agencia de Viajes y Turismo;Receptivo
13332;VINTURA;Empresa de Viajes y Turismo;Otro
13366;LOGISTIC EXPRESS;Empresa de Viajes y Turismo;Otro
13424;MALLKU EXPEDICIONES;Agencia de Viajes y Turismo;Mayorista
13511;MANA TOURS;Empresa de Viajes y Turismo;Emisivo,Receptivo,Emite Pasajes (IATA)
13518;COLLASUYO VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
13519;GOICO.TOUR;Empresa de Viajes y Turismo;Otro
13626;ACONCAGUA EXPEDICIONES;Empresa de Viajes y Turismo;Otro
13632;CELLAR TASTING;Empresa de Viajes y Turismo;Receptivo,Tour Operador
13692;TUPUNGATO VIAJES Y TURISMO;Empresa de Viajes y Turismo;Receptivo
13730;INSTITUTO DE TURISMO EMPRESARIAL;Empresa de Viajes y Turismo;Otro
13739;AWT;Empresa de Viajes y Turismo;Otro
13861;VIA VENTO;Empresa de Viajes y Turismo;Otro
13882;INTERNACIONAL MENDOZA;Empresa de Viajes y Turismo;Otro
13892;PUNTO AR VIAJES Y TURISMO;Empresa de Viajes y Turismo;Emisivo
13896;MDZ WINE TOURS;Empresa de Viajes y Turismo;Emisivo,Receptivo,Tour Operador,Mayorista
13918;ONLINE TRAVEL;Empresa de Viajes y Turismo;Otro
13933;WOLF TRAVEL;Agencia de Viajes y Turismo;Estudiantil
13952;SUNTRIP MENDOZA;Empresa de Viajes y Turismo;Otro
13997;NITES INCOMING;Empresa de Viajes y Turismo;Mayorista
14066;ELICIRONA TRAVEL;Agencia de Viajes y Turismo;Emisivo,Otro
14085;TROUT & WINE;Empresa de Viajes y Turismo;Receptivo
14087;CUAREIM VIAJES Y TURISMO;Agencia de Viajes y Turismo;Emisivo,Mayorista
14109;MENDOSUR;Empresa de Viajes y Turismo;Otro
14131;ANDES TOUR;Empresa de Viajes y Turismo;Otro
14183;JUAN HERRERA TRAVEL SERVICE;Empresa de Viajes y Turismo;Receptivo,Otro
14199;HEAVEN AND HELL;Empresa de Viajes y Turismo;Otro
14209;SDG TRAVEL;Empresa de Viajes y Turismo;Emisivo,Receptivo
14224;AVENIDA VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
14259;WINE ROADS;Empresa de Viajes y Turismo;Otro
14279;BLACK VALLEY;Empresa de Viajes y Turismo;Emisivo,Receptivo
14338;MALVA SERVICIOS TURISTICOS;Empresa de Viajes y Turismo;Otro
14400;VISTALBA WINE TOURS;Empresa de Viajes y Turismo;Receptivo
14406;FERNANDO GRAJALES EXPEDITIONS;Empresa de Viajes y Turismo;Otro
14431; NEW HARVEST;Empresa de Viajes y Turismo;Otro
14434;SAK WINE AND TRAVEL;Empresa de Viajes y Turismo;Receptivo
14464;ALBFER VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
14488;TRES ELEMENTOS;Empresa de Viajes y Turismo;Otro
14538;LANKO ALTAS MONTAÑAS;Empresa de Viajes y Turismo;Receptivo
14644;CAHINHUE SERVICIOS TURISTICOS;Empresa de Viajes y Turismo;Emisivo
14656;MASNU VIAJES;Empresa de Viajes y Turismo;Emisivo
14661;NEW BLEND TRAVEL;Empresa de Viajes y Turismo;Otro
14695;PEPE CARRIZO VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
14727;VERTIENTE VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
14730;AMSA TOURS & TRAVEL;Empresa de Viajes y Turismo;Otro
14731;PAYUNIA;Empresa de Viajes y Turismo;Receptivo
14775;A PLENO VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
14827; D.M.A. TOUR;Empresa de Viajes y Turismo;Otro
14850;LANDSCAPE & WINE;Empresa de Viajes y Turismo;Otro
14931; SILVANA BIAGIOTTI DIVISION TURISMO;Empresa de Viajes y Turismo;Otro
14983; TIERRA DE ISELIN;Empresa de Viajes y Turismo;Otro
15051;ENO EXPERIENCE TRAVEL;Empresa de Viajes y Turismo;Otro
15066;KINGDOM TRAVEL;Empresa de Viajes y Turismo;Otro
15090; TARYN;Empresa de Viajes y Turismo;Otro
15100;YANASUS;Empresa de Viajes y Turismo;Otro
15106;HUELLA CLARA;Empresa de Viajes y Turismo;Otro
15214; TIERRA DEL VINO;Agencia de Viajes y Turismo;Receptivo
15216; VALLES DEL SOL;Empresa de Viajes y Turismo;Otro
15218;DE.NI.SE S.A.;Empresa de Viajes y Turismo;Otro
15224;PAXTEQUINA TASTING & ADVENTURE SERVICIOS TURISTICOS;Empresa de Viajes y Turismo;Otro
15261;ADALGISA WINE EXPERIENCE;Empresa de Viajes y Turismo;Otro
15365;CERROS MENDOCINOS VIAJES;Empresa de Viajes y Turismo;Otro
15434;NEXT STOP TOURS ;Empresa de Viajes y Turismo;Otro
15444; SIERRA PINTADA VIAJES Y TURISMO;Agencia de Viajes y Turismo;Receptivo,Mayorista
15482;ROMO TOURS VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
15500/1;DIAMANTE VIAJES;Empresa de Viajes y Turismo;Emisivo,Receptivo
15500/2;DIAMANTE VIAJES;Agencia de Viajes y Turismo;Emisivo,Receptivo,Emite Pasajes (IATA)
15500/3;DIAMANTE VIAJES;Empresa de Viajes y Turismo;Emisivo,Receptivo
15500;DIAMANTE VIAJES;Agencia de Viajes y Turismo;Emisivo,Receptivo,Otro
15506;ONE FIVE;Empresa de Viajes y Turismo;Emisivo
15544;ICONO VIAJES;Empresa de Viajes y Turismo;Otro
15547;EXCURSIONES AHORA;Empresa de Viajes y Turismo;Otro
15601;SATEJ VIAJES;Empresa de Viajes y Turismo;Otro
15615;VALLE DE UCO TOURS;Empresa de Viajes y Turismo;Otro
15621;AVENTURA & WINE VIAJES;Agencia de Viajes y Turismo;Emisivo,Receptivo,Otro
15629;SERVITUR;Empresa de Viajes y Turismo;Otro
15650;LA TERMINAL DEL CENTRO;Empresa de Viajes y Turismo;Otro
15666;GABRIEL STELLA VIAJES;Empresa de Viajes y Turismo;Otro
15685;ANDIAMO VIAJES Y TURISMO;Empresa de Viajes y Turismo;Emisivo,Receptivo
15702;SOUTH FACE;Empresa de Viajes y Turismo;Otro
15734;MELCEJ VIAJES;Empresa de Viajes y Turismo;Otro
