ID,Nombre,Habitaciones,Parcelas,Plazas,Cabañas,Fecha Inscripción,Departamento,Clasificación,Localidad
1064,CABAÑAS DEL INCA,14,0,30,7,02/10/2023,Las Heras,Hospedaje,USPALLATA
1065,MIS NIETOS,0,0,0,0,03/10/2023,Malargue,PAT (Propiedad Alquiler Temporario),MALARGUE
1067,CABAÑAS DEL MONTAÑES,0,0,20,4,17/10/2023,Malargue,Hospedaje,MALARGUE
1068,CENTRAL,10,0,60,0,24/10/2023,Capital,Hospedaje,CAPITAL
1069,CABAÑAS SANTA TERESITA,6,0,40,0,26/09/1920,Lujan,Hospedaje,POTRERILLOS
1072,CENTER APART MENDOZA,0,43,10,0,29/11/2023,Capital,Apart-Hotel,CAPITAL
1073,NENGABELO,0,0,0,0,18/10/1922,Malargue,Hospedaje,COLONIA PEHUENCHE
1074,ABRAHAM COMPLEJO TURISTICO,13,1,45,0,30/11/2023,San Rafael,Apart-Hotel,SAN RAFAEL
1075,MASI TUPUNGATO,0,0,10,2,21/12/2023,Tupungato,Hospedaje,LA ARBOLEDA
1076,HUALTA HOTEL MENDOZA,67,0,0,0,28/12/2023,Capital,Hospedaje,CAPITAL
1077,KUYAY CABAÑAS,8,4,16,4,28/12/2023,San Rafael,Hospedaje,EL CERRITO
1078,VIENA,11,0,38,0,29/12/2023,Las Heras,Hospedaje,USPALLATA
1079,SANTA MATILDE,3,0,10,0,10/01/2024,Malargue,Hospedaje,MALARGUE
1080,VISTA ALMA,4,0,10,0,18/01/2024,Lujan,PAT (Propiedad Alquiler Temporario),VISTALBA
1082,LUNA DE PLATA,0,0,0,3,27/07/2020,Gral. Alvear,Cabañas,CIUDAD
1083,BRISAS DE MONTAÑA,8,0,16,4,30/01/2024,Lujan,Hospedaje,LAS COMPUERTAS
1084,"EL NIDO, DOMOS DE MONTAÑA",6,6,12,0,19/02/2024,Las Heras,Hospedaje,COSTA NORTE LAGO POTRERILLOS
1085,HOTEL DAKAR,9,0,20,0,27/02/2024,Capital,Hospedaje,CAPITAL
1086,CHOZOS RESORT,12,0,40,0,01/03/2024,Lujan,Lodge,AGRELO
1087,ACORDES DE GAITA,4,0,8,0,05/03/2024,Malargue,Hospedaje,MALARGUE
1088,DIVINA MONTAÑA,2,0,2,2,06/03/2024,Lujan,Hospedaje,BLANCO ENCALADA
1089,ESTANCIA LA LUZ,3,0,12,0,13/07/2022,Santa Rosa,Hospedaje Rural,LA DORMIDA
1090,LA CASONA,2,0,5,0,13/03/2024,Guaymallen,Hospedaje,SAN JOSE
1091,EL OLIVO,10,0,30,0,14/03/2024,Santa Rosa,Hospedaje,SANTA ROSA
1092,QUINTA PALMA,0,0,56,9,22/03/2024,Lujan,Hospedaje,PERDRIEL
1093,CAMPO CARI-LAUQUEN,4,0,12,0,14/03/2024,Malargue,Hospedaje,LLANCANELO
